usr_id,acct_ref,sub_ref,external_usr_id,usr_email,usr_nm,usr_role_cd,usr_title,usr_lang,created_dt,activated_dt,last_login_ts,usr_status_cd,deactivated_dt,signup_src,signup_channel,geo_region,timezone,is_primary_flg,email_verified_flg,last_seen_device,notes_txt
USR00001,AC007,SUB00393,EXT8306,sara168@gmail.com,John Smith,ADMIN,,en-US,2023-09-08,2023-09-07,2023-11-05 00:00:00,active ,,,paid_ads,EU,UTC+1,True,True,,power user
USR00002,AC063,,,mike190@company.com,,viewer,CTO,PL,2023-11-15,2023-11-25,2024-08-12 00:00:00,disabled,2024-11-06,api,referral,APAC,,True,True,,
USR00003,AC027,SUB02011,,alex244@gmail.com,,viewer,CTO,,2023-06-26,2023-07-04,2024-02-01 00:00:00,deleted,,web,organic,APAC,Europe/Warsaw,False,True,,billing contact
USR00004,AC140,,EXT8593,mike2@gmail.com,Anna Kowalska,viewer,Finance,DE,2021-10-08,2021-10-15,2022-06-23 00:00:00,active,,api,,NA,EST,,,ios,power user
USR00005,AC109,SUB01752,EXT8144,mike244@gmail.com,John Smith,viewer,,,2021-09-02,2021-09-12,2021-10-16 00:00:00,active,,api,paid_ads,,UTC,True,False,,no activity last 30 days
USR00006,,,EXT2258,mike94@gmail.com,John Smith,ADMIN,Engineer,,2023-01-02,2023-01-05,2023-07-06 00:00:00,disabled,,api,referral,EU,Europe/Warsaw,True,,android,no activity last 30 days
USR00007,AC060,SUB02561,EXT7750,mike84@company.com,John Smith,member,Engineer,,2021-01-27,,,invited,,sales,organic,APAC,EST,True,True,ios,power user
USR00008,AC007,SUB00818,EXT6604,sara156@gmail.com,John Smith,,CTO,en-US,2023-09-10,2023-09-16,,invited,,sales,paid_ads,EU,UTC+1,True,True,web,
USR00009,AC167,,,sara263@company.com,,admin,Manager,EN,2021-08-17,,,disabled,,web,organic,EU,UTC,True,True,ios,billing contact
USR00010,AC108,,EXT6698,anna257@gmail.com,,member,,,2022-02-14,2022-02-20,,active,,web,organic,,UTC+1,,True,android,no activity last 30 days
USR00011,AC151,SUB00336,EXT9260,kate244@example.com,M. Brown,,,en-US,2024-01-06,,,deleted,,web,paid_ads,EU,EST,False,True,ios,
USR00012,AC002,SUB00474,,john148@gmail.com,,,CTO,EN,2021-08-20,2021-08-25,,disabled,,import,organic,APAC,Europe/Warsaw,False,,android,
USR00013,AC041,SUB01629,EXT7020,john252@company.com,John Smith,billing,Manager,,2022-04-08,2022-04-12,2022-11-17 00:00:00,active,,web,paid_ads,APAC,EST,,,web,no activity last 30 days
USR00014,AC088,SUB01086,EXT5472,sara205@gmail.com,M. Brown,billing,,,2021-05-13,2021-05-14,2021-12-06 00:00:00,deleted,,import,referral,NA,EST,True,True,android,
USR00015,AC056,,EXT9161,kate92@example.com,,ADMIN,,PL,2023-10-16,2023-10-15,,invited,,api,organic,EMEA,,False,False,ios,
USR00016,AC087,SUB00758,EXT2951,john162@company.com,,billing,Manager,EN,2023-10-17,2023-10-20,2024-07-22 00:00:00,active,,sales,referral,NA,EST,False,True,android,
USR00017,AC098,SUB01563,EXT9301,sara135@gmail.com,,ADMIN,Manager,,2023-09-26,2023-10-06,2024-07-08 00:00:00,disabled,,api,referral,EMEA,UTC,,True,ios,
USR00018,AC089,SUB01826,EXT7749,sara126@company.com,Anna Kowalska,member,,PL,2022-12-16,2022-12-11,2023-06-03 00:00:00,active ,,web,organic,EU,UTC,False,True,web,billing contact
USR00019,AC012,,EXT7900,kate241@company.com,,admin,Finance,DE,2022-10-30,,,active ,,import,referral,,UTC,False,True,ios,
USR00020,AC138,SUB01079,EXT4305,mike39@company.com,,member,Finance,PL,2023-10-15,2023-10-20,,active,,api,,NA,,,True,web,billing contact
USR00021,AC097,,EXT5913,kate277@company.com,M. Brown,member,Manager,DE,2022-11-21,2022-12-01,2023-05-27 00:00:00,disabled,,,,,UTC+1,True,,ios,billing contact
USR00022,AC076,SUB00253,EXT1981,sara187@gmail.com,,member,Engineer,en-US,2023-10-20,2023-10-29,2024-07-27 00:00:00,disabled,,import,,EU,UTC,,True,,
USR00023,AC159,,,john159@example.com,,billing,,DE,2022-08-11,2022-08-14,2022-12-12 00:00:00,deleted,,web,paid_ads,NA,Europe/Warsaw,True,True,android,
USR00024,AC093,SUB00397,EXT5882,john209@example.com,M. Brown,,,EN,2024-02-02,2024-01-29,2024-10-03 00:00:00,deleted,,sales,paid_ads,EMEA,,,,web,billing contact
USR00025,AC018,,EXT7388,john121@company.com,,member,Engineer,EN,2024-04-03,2024-04-06,2024-05-22 00:00:00,invited,,sales,referral,APAC,EST,False,,web,
USR00026,,SUB02218,EXT3374,anna189@company.com,M. Brown,admin,,,2023-12-29,2023-12-27,2024-07-30 00:00:00,active,,web,paid_ads,EU,,False,False,android,power user
USR00027,AC075,SUB02416,EXT4857,mike83@example.com,,,Finance,DE,2024-01-01,2024-01-10,2024-07-29 00:00:00,active,2024-08-31,api,organic,APAC,EST,,False,android,
USR00028,AC060,,EXT8426,kate27@gmail.com,Anna Kowalska,,Manager,en-US,2021-07-25,2021-07-28,2022-01-24 00:00:00,active,,import,paid_ads,EU,Europe/Warsaw,,True,web,no activity last 30 days
USR00029,AC098,,EXT3187,mike168@company.com,M. Brown,member,CTO,DE,2022-05-27,2022-05-26,2022-12-22 00:00:00,disabled,,sales,,APAC,,True,True,web,billing contact
USR00030,AC163,SUB02141,,kate134@example.com,Anna Kowalska,admin,Finance,en-US,2022-04-14,2022-04-23,,active ,,web,organic,,EST,False,,,power user
USR00031,AC042,SUB02194,,sara111@company.com,M. Brown,,,en-US,2022-04-05,2022-04-06,2022-08-20 00:00:00,deleted,,sales,,NA,UTC,False,False,ios,billing contact
